Symbol,Name,Sector,Market Cap
TXG.TO,Canada Stock,Unknown,500000000
TIH.TO,Canada Stock,Unknown,500000000
TD.TO,Canada Stock,Unknown,500000000
TOU.TO,Canada Stock,Unknown,500000000
TA.TO,Canada Stock,Unknown,500000000
TCL-A.TO,Canada Stock,Unknown,500000000
TFPM.TO,Canada Stock,Unknown,500000000
TSU.TO,Canada Stock,Unknown,500000000
VRN.TO,Canada Stock,Unknown,500000000
VET.TO,Canada Stock,Unknown,500000000
WCN.TO,Canada Stock,Unknown,500000000
WDO.TO,Canada Stock,Unknown,500000000
WFG.TO,Canada Stock,Unknown,500000000
WPM.TO,Canada Stock,Unknown,500000000
WCP.TO,Canada Stock,Unknown,500000000
WPK.TO,Canada Stock,Unknown,500000000
WSP.TO,Canada Stock,Unknown,500000000
ADS.DE,Stock DAX 40 (Top),Unknown,500000000
AIR.PA.DE,Stock DAX 40 (Top),Unknown,500000000
ALV.DE,Stock DAX 40 (Top),Unknown,500000000
BAS.DE,Stock DAX 40 (Top),Unknown,500000000
BAYN.DE,Stock DAX 40 (Top),Unknown,500000000
BEI.DE,Stock DAX 40 (Top),Unknown,500000000
BMW.DE,Stock DAX 40 (Top),Unknown,500000000
BNR.DE,Stock DAX 40 (Top),Unknown,500000000
CBK.DE,Stock DAX 40 (Top),Unknown,500000000
CON.DE,Stock DAX 40 (Top),Unknown,500000000
DTG.DE,Stock DAX 40 (Top),Unknown,500000000
DBK.DE,Stock DAX 40 (Top),Unknown,500000000
DB1.DE,Stock DAX 40 (Top),Unknown,500000000
DHL.DE,Stock DAX 40 (Top),Unknown,500000000
DTE.DE,Stock DAX 40 (Top),Unknown,500000000
EOAN.DE,Stock DAX 40 (Top),Unknown,500000000
FRE.DE,Stock DAX 40 (Top),Unknown,500000000
FME.DE,Stock DAX 40 (Top),Unknown,500000000
G1A.DE,Stock DAX 40 (Top),Unknown,500000000
HNR1.DE,Stock DAX 40 (Top),Unknown,500000000
HEI.DE,Stock DAX 40 (Top),Unknown,500000000
HEN3.DE,Stock DAX 40 (Top),Unknown,500000000
IFX.DE,Stock DAX 40 (Top),Unknown,500000000
MBG.DE,Stock DAX 40 (Top),Unknown,500000000
MRK.DE,Stock DAX 40 (Top),Unknown,500000000
